Date,Northeast,South,Midwest,West,National
1997-01-01,73.56075385,70.762918,72.93756558,75.78561469,74.445
1998-01-01,74.83875306,71.6509069,74.25876883,76.24475815,75.283
1999-01-01,75.87511853,73.00083583,75.53148641,77.13672249,76.37
2000-01-01,77.22252046,75.29316164,76.98293906,78.57612831,78.078
2001-01-01,79.03325834,77.32204686,79.03866712,80.11818054,79.79
2002-01-01,80.50591651,78.3658015,80.25191948,81.26225827,81.052
2003-01-01,81.89539706,80.49673013,81.53169728,82.76243281,82.557
2004-01-01,84.17221474,82.95621641,83.65024266,84.98150922,84.78
2005-01-01,86.58037124,86.15532568,85.77620647,87.53073524,87.421
2006-01-01,89.24816972,88.86953625,88.1433304,90.04024749,90.066
2007-01-01,91.9228172,91.58377417,90.77197573,92.67400624,92.486
2008-01-01,93.38678011,94.12823084,92.28822694,94.40855648,94.285
2009-01-01,94.98306564,93.8897674,94.48742563,94.639083,95.004
2010-01-01,95.97565929,95.67387613,95.41091713,96.01806103,96.111
2011-01-01,97.67870049,98.14108945,97.47974731,98.13032099,98.118
2012-01-01,100,100,100,100,100
2013-01-01,102.3233042,102.0335198,102.0171613,101.9313134,101.755
2014-01-01,104.7427937,103.8463045,103.895751,103.6682796,103.638
2015-01-01,106.9110493,103.6699938,105.8861204,104.8688496,104.717
2016-01-01,108.654811,104.5823043,107.0717696,105.9922049,105.801
2017-01-01,110.63246,106.8729218,108.862939,107.8797392,107.794
2018-01-01,113.3904113,109.8914748,111.3760441,110.23513,110.42
2019-01-01,115.5732772,111.5101786,113.4418433,112.3160786,112.345